Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly Stats Total Sequence Length
Paenibacillus auburnensis					CIP111892		6439446
Alteribacter salitolerans		APA H-16(1)					4182069
Solibacillus faecavium		A46					3823945
Bacillus cihuensis		FJAT-14515					5443019
Lederbergia citri		FJAT-49780					4823521
Evansella halocellulosilytica		FJAT-44876					5512723
Jeotgalicoccus coquinae		CIP 111751					2207844
Alkalibacillus aidingensis		YIM 98829					2843321
Marinococcus luteus		DSM 23126					2908575
Salinicoccus luteus DSM 17002		DSM 17002					2554929
Paenibacillus bouchesdurhonensis		Marseille-P3071T					5824920
Bacillus solitudinis		FJAT-45086					4678137
Psychrobacillus insolitus		DSM 5					3288307
Sinobaca qinghaiensis		DSM 17008					3403958
Peribacillus loiseleuriae		FJAT-27997					5428425
Paenibacillus sinopodophylli		CCTCC AB 2016047					7041010
Staphylococcus pragensis		CCM 8529					2449786
Thermoflavimicrobium daqui		FBKL4.011					3867702
Cytobacillus citreus		FJAT-49705					5328100
Halobacillus massiliensis		Marseille-P3554					4312404
Salirhabdus euzebyi		DSM 19612					3777140
Gottfriedia endophytica		RG28					4081322
Bacillus testis		SIT10					3987368
Paenibacillus herberti		R33					5414232
Paenibacillus wulumuqiensis		Y24					5240711
Kroppenstedtia guangzhouensis		CGMCC 1.12404					3582369
Lysinibacillus yapensis		YLB-03					3785739
Paenibacillus vulneris		JCM 18268					7872765
Salimicrobium album		DSM 20748					2629725
Halalkalibacter nanhaiisediminis		CGMCC 1.10116					3571384
Salinicoccus kekensis		DSM 23173					2610395
Paenibacillus tengchongensis		SYSU G01003					6400566
Paenibacillus agricola		S3N08					8375108
Psychrobacillus lasiicapitis		NEAU-3TGS17					4488252
Marininema halotolerans		DSM 45789					3568596
Paenibacillus paridis		py1325					7796941
Gracilibacillus dipsosauri		DD1					4186855
Bacillus niameyensis		SIT3					4684221
Alteribacillus iranensis		DSM 23995					3316135
Planomicrobium soli		CGMCC 1.12259					3592970
Terribacillus halophilus		DSM 21620					3654407
Anoxybacillus calidus		DSM 25220					3405528
Melghirimyces algeriensis		DSM 45474					3425405
Paenibacillus contaminans		CKOBP-6					10232629
Paenibacillus gallinarum		Sa2BVA9					5411474
Bhargavaea massiliensis		Marseille-Q1000					3062549
Paenibacillus aceti		L14					5611962
Mesobacillus foraminis		CV53					5730823
Paenibacillus allorhizosphaerae		CIP 111802					8178005
Paenibacillus caseinilyticus		GW78					7580993
Salimicrobium halophilum		DSM 4771					3155619
Bacillus andreraoultii		SIT1					4111990
Gracilibacillus orientalis		CGMCC 1.4250					4611824
Paenibacillus mesophilus		SYSU K30004					8791003
Salinibacillus kushneri		CGMCC 1.3566					3488694
Bacillus marasmi		Marseille-P3556					4638330
Cytobacillus stercorigallinarum		Sa5YUA1					4437819
Salimicrobium salexigens		DSM 22782					2584100
Paenibacillus polysaccharolyticus		BL9					6495147
Paenibacillus phyllosphaerae		CECT 5862					7894703
Jeotgalicoccus meleagridis		CIP 111649					2070175
Fontibacillus phaseoli		CECT 8333					5444741
Falsibacillus pallidus		DSM 25281					3865655
Oceanobacillus saliphilus		APA_H-1(4)					4227370
Lysinibacillus pinottii		PB211					4590315
Cohnella lupini		CECT 8236					6342800
Seinonella peptonophila		DSM 44666					3844441
Paenibacillus motobuensis		JCM 12774					5453823
Peribacillus castrilensis		N3					5743707
Halalkalibacter urbisdiaboli		FJAT-45385					4555038
Viridibacillus arvi		DSM 16317					4758570
Jeotgalibacillus salarius		ASL-1					3424270
Pseudalkalibacillus spartinae		FJAT-53046					4475952
Cohnella caldifontis		YIM B05605					5510416
Paenibacillus lutrae		N10					5538742
Paenibacillus wenxiniae		DSM 100576					5951904
Paenibacillus ferrarius		CY1					9184342
Ureibacillus xyleni		JC22					4050949
Paenibacillus filicis		KACC14197					7686931
Salipaludibacillus aurantiacus		S9					4435185
Psychrobacillus faecigallinarum		Sa2BUA9					4007948
Lihuaxuella thermophila		DSM 46701					3808945
Pelagirhabdus alkalitolerans		S5					2527601
Falsibacillus albus		GY 10110					4485249
Paenibacillus allorhizoplanae		CIP 111891					8162691
Alkalihalobacterium chitinilyticum		MEB 203					4882427
Paenibacillus prosopidis		CECT 7506					6635990
Oceanobacillus chungangensis		CAU 1051					4010023
Oceanobacillus senegalensis		Marseille-P3587					4300368
Paenibacillus oenotherae		DT7-4					5694872
Oceanobacillus halotolerans		YIM 98839					3324657
Paenibacillus piscarius		P121					7437208
Mesobacillus harenae		Y40					4672576
Cohnella terricola		G13					5387258
Paenibacillus soyae		SCIV0701					6868203
Salimicrobium flavidum		DSM 23127					2900825
Cohnella zeiphila		CBP-2801					7924106
Peribacillus alkalitolerans		KCTC 33631					4472175
Polycladomyces zharkentensis		ZKZ2T					3317478
Jeotgalicoccus halotolerans		DSM 17274					2232970
Pradoshia eiseniae		EAG3					3821617
Bacillus dakarensis		Marseille-P3515T					5481671
Lentibacillus halodurans		CGMCC 1.3702					3670765
Alkalicoccus daliensis		CGMCC 1.10369					3778165
Alkalicoccus urumqiensis		BZ-SZ-XJ18					3280710
Shouchella lonarensis		25nlg					2582209
Paenibacillus ginsengarvi		KCTC 13059					8283483
Paenisporosarcina quisquiliarum		SK 55					3140025
Exiguobacterium flavidum		HF60					2703469
Virgibacillus siamensis		JCM 15395					3624171
Sporosarcina highlanderae		F6_3S_P_2					3397737
Lentibacillus persicus		DSM 22530					3314552
Lacicoccus alkaliphilus DSM 16010		DSM 16010					2516660
Alicyclobacillus vulcanalis		DSM 16176					2994480
Paraliobacillus ryukyuensis		DSM 15140					3095919
Thalassobacillus cyri		CCM7597					4300830
Exiguobacterium qingdaonense		S82					2738116
Ectobacillus ponti		SYSU M60031					4522925
Anoxybacillus tengchongensis		DSM 23211					2727467
Alkalibacillus silvisoli		JCM 14193					2981567
Sporosarcina gallistercoris		Sa3CUA8					3134129
Ornithinibacillus gellani		LJ137					3787664
Lederbergia panacisoli		KACC 17503					4110058
Paenibacillus brevis		MSJ-6					5237811
Paenibacillus endophyticus		CECT 8234					7302688
Paenibacillus luteus		R-3					8511810
Bacillus spongiae		135PIL107-10					4471323
Solibacillus merdavium		Sa1YVA6					3783750
Tetzosporium hominis		VT-49					2780751
Alkalihalobacillus bogoriensis ATCC BAA-922		ATCC BAA-922					5002403
Cytobacillus massiliigabonensis		Marseille-P2639					5231817
Texcoconibacillus texcoconensis		DSM 24696					3417124
Desertibacillus haloalkaliphilus		KJ1-10-99					4418026
Paenibacillus aestuarii		CJ25					7084080
Litchfieldia salsa		IBRC-M10078					4789739
Amphibacillus marinus		CGMCC 1.10434					3468523
Neobacillus paridis		YIM B02564					4629313
Sporolactobacillus putidus		JCM 15325					3475761
Oceanobacillus arenosus		CAU 1183					4051086
Peribacillus huizhouensis		DSM 105481					5027882
Paenibacillus oleatilyticus		SM69					7899415
Alkalibacillus almallahensis		CECT 8373					2709255
Listeria costaricensis					CLIP201600682		3180595
Virgibacillus oceani		CGMCC 1.12754					3842800
Marininema mesophilum		DSM 45610					3331831
Sporosarcina cascadiensis		A4					3637519
Paenibacillus farraposensis		UY79					4962427
Paenibacillus arenosi		CAU 1523					5307553
Brockia lithotrophica		DSM 22653					1879126
Pseudalkalibacillus decolorationis		DSM 14890					5272454
Paenibacillus puerhi		SJY2					6710097
Oceanobacillus limi		IBRC-M 10780					3913837
Bacillus rhizoplanae		CIP 111899					4442577
Shouchella shacheensis		HNA-14					3982201
Mesobacillus campisalis		SA2-6					5182058
Pontibacillus salipaludis		CGMCC 1.15353					4144902
Paenibacillus alba		LMG 31323					8727313
Streptohalobacillus salinus		DSM 22440					2529324
Anoxybacillus vitaminiphilus		CGMCC 1.8979					3556270
Alicyclobacillus sacchari		DSM 17974					2946319
Paenibacillus oryzisoli		1ZS3-15					8311090
Paenibacillus oryzae		1DrF-4					5905968
Filibacter tadaridae					aTB-66		3123030
Anoxybacillus mongoliensis		DSM 19169					2633749
Bacillus massiliigorillae		G2					5451072
Aquibacillus salsiterrae		3ASR75-54					3700068
Aureibacillus halotolerans		DSM 28697					4382167
Tumebacillus permanentifrigoris		DSM 18773					4689798
Sporosarcina saromensis		KCTC13119					3867321
Anoxybacillus suryakundensis		DSM 27374					2594657
Staphylococcus croceilyticus		CCM 8421					2375602
Paenibacillus frigoriresistens		LMG 31322					7640421
Paenibacillus plantiphilus		CIP 111893					6062857
Filobacillus milosensis		JCM 12288					3242837
Salibacterium halotolerans		S7					3614063
Psychrobacillus vulpis		Z8					4024205
Paenibacillus thermoaerophilus		DSM 26310					3702288
Kurthia senegalensis		JC8E					2986769
Tepidibacillus fermentans		DSM 23802					2424111
Cohnella nanjingensis		DSM 28246					7611037
Gracilibacillus ureilyticus		CGMCC 1.7727					4071593
Domibacillus epiphyticus		SAB 38					3237069
Paenibacillus pseudetheri		CIP 111894					6640894
Fontibacillus panacisegetis		DSM 28129					5264638
Paenibacillus solani		FJAT-22460					6198757
Gracilibacillus suaedae		LD4P30					4648302
Siminovitchia terrae		LMG 29736					5302661
Sporolactobacillus shoreae		BK92					3654870
Halobacillus aidingensis		CGMCC 1.3703					4191840
Paenibacillus roseus		MAHUQ-46					5367904
Paenibacillus taihuensis		CGMCC 1.10966					6788771
Sporosarcina obsidiansis		A15					3584243
Gracilibacillus halotolerans		DSM 11805					3393295
Melghirimyces profundicolus		DSM 45787					3768904
Paenibacillus antibioticophila		GD11					5584690
Paenibacillus thermotolerans		YIM B05602					5512032
Polycladomyces subterraneus		KSR 13					3361078
Virgibacillus senegalensis		SK-1					3924902
Oceanobacillus polygoni		SA9					4536877
Fontibacillus solani		CECT 8693					5539036
Domibacillus aminovorans		DSM 1314					3731130
Halalkalibacter alkalisediminis		DSM 21670					5287523
Pseudoneobacillus rhizosphaerae		CIP 111885					4674004
Alicyclobacillus montanus		USBA-GBX-503					3045912
Paenibacillus marchantiophytorum		CGMCC 1.15043					8254172
Neobacillus kokaensis		LOB 377					5566012
Oceanobacillus damuensis		PT-20					4118836
Neobacillus rhizosphaerae		CIP 111895					5049395
Sutcliffiella rhizosphaerae		CIP 111883					4516360
Oceanobacillus bengalensis		MCCC 1K00260					4041242
Paenibacillus cremeus		JC52					7564172
Bacillus solimangrovi		GH2-4					3844017
Alkalicoccus saliphilus		6AG					3525217
Staphylococcus argensis		DSM 29875					2452468
Neobacillus dielmonensis		FF4					4566707
Allobacillus salarius		SKP4-8					2595246
Melghiribacillus thermohalophilus		DSM 25894					3015078
Aliicoccus persicus		IBRC-M10081					2061411
Ureibacillus galli		Re31					3726905
Paenibacillus hemerocallicola		KCTC 33185					9652120
Salibacterium qingdaonense		CGMCC 1.6134					3516738
Salisediminibacterium haloalkalitolerans		10nlg					2937914
Bacillus litorisediminis		FJAT-47801					4479585
Scopulibacillus darangshiensis		DSM 19377					4660335
Brevibacillus massiliensis		phR					5060362
Planifilum fulgidum		DSM 44945					3382342
Paenibacillus tianmuensis		CGMCC 1.8946					6029601
Robertmurraya massiliosenegalensis JC6		JC6					4967913
Sporolactobacillus nakayamae		ATCC 700379					3538879
Lacicoccus qingdaonensis		CGMCC 1.8895					2633620
Kurthia massiliensis		JC30					3230817
Cohnella xylanilytica		DSM 25239					7356379
Lentibacillus populi		CGMCC 1.15454					4620543
Oceanobacillus massiliensis str. N'diop		Ndiop					3593561
Sporosarcina limicola		DSM 13886					4301636
Natribacillus halophilus		DSM 21771					3302411
Bacillus norwichensis		Sa1BUA2					4696597
Aliibacillus thermotolerans		BM62					2786800
Psychrobacillus soli		NHI-2					4226526
Paenibacillus xylanivorans		A59					7087286
Cohnella lubricantis		DSM 103658					4469270
Halobacillus alkaliphilus		FP5					4092525
Geobacillus thermopakistaniensis		MAS1					3497407
Parageobacillus thermantarcticus		M1					3448881
Thermobacillus xylanilyticus		XE					4109925
Ornithinibacillus halophilus		IBRC-M 10683					3463618
Neobacillus sedimentimangrovi		FJAT-2464					3230933
Alicyclobacillus cellulosilyticus		JCM 18487					2711950
Peribacillus acanthi		L28					4063863
Lentibacillus halophilus		JCM 12149					2863168
Oceanobacillus indicireducens		JCM 17251					3871950
Neobacillus citreus		FJAT-50051					6044792
Gracilibacillus oryzae		TD8					4634286
Priestia veravalensis		SGD-V-76					4114189
Lentibacillus kapialis		JCM 12580					3640324
Evansella tamaricis		CGMCC 1.15917					5186571
Compostibacillus humi		CGMCC 1.12360					3376322
Anoxybacillus pushchinoensis		K1					2625421
Staphylococcus rostri		DSM 21968					2341022
Tepidibacillus decaturensis		Z9					2963953
Amphibacillus indicireducens		JCM 17250					2805607
Paenibacillus ihuae		GD6					6725359
Geobacillus stearothermophilus		LuGst23					2744723
Paenibacillus alvei		32					6582090
Paenibacillus alvei		NRRL B-04300					6674793
Terribacillus saccharophilus		NRS-1468					3585289
Bacillus zhangzhouensis		SC123					3657353
Mammaliicoccus fleurettii		MBTS-1					2582128
Brevibacillus thermoruber 423		423					4433503
Paenibacillus barengoltzii G22		G22					4781233
Heyndrickxia sporothermodurans		SAD					3857089
Lysinibacillus halotolerans		MCCC 1A12703					3548511
Sporosarcina koreensis		Q1					4340200
Sporosarcina newyorkensis		DSM 23966					3602225
Listeria rocourtiae		CECT 7972					3187944
Schinkia azotoformans		B-14532					4472104
Listeria fleischmannii 1991		1991					2792738
Ornithinibacillus bavariensis		J43TS3					3475028
Planococcus soli		NJC23					4186213
Terrilactibacillus laevilacticus		SK5-6					3370458
Bacillus tuaregi		Marseille-P2489T					4863531
Salirhabdus salicampi		Q7268					2984373
Paenibacillus montaniterrae		J40TS1					6054055
Sediminibacillus massiliensis					Aquibacillus massiliensis		4347501
Paenibacillus vini		J42TS3					5636370
Mesobacillus persicus		B48,IBRC-M 10115,DSM 25386,CECT 8001					4643403
Cohnella phaseoli		CECT 7287					9401845
Paenibacillus alkalitolerans		YIM B00362 = KCTC 43272					6337839
Paenibacillus solanacearum					CIP111600		7609664
Paenibacillus profundus		YoMME					6918865
Paenibacillus whitsoniae		MER 54					7421650
Siminovitchia fortis		DE0258					3932592
Gemelliphila asaccharolytica		KA00071					1289860
Bacillus haikouensis		CrR16					4678913
